30720,1327104,360,-,0.95 V ~ 1.05 V,Surface Mount,0°C ~ 85°C (TJ),665-BBGA   FCBGA,665-FCBGA (27x27)
-,36864,151,250000,1.425 V ~ 1.575 V,Surface Mount,-40°C ~ 100°C (TJ),208-BFQFP,208-PQFP (28x28)
-,36864,68,250000,1.425 V ~ 1.575 V,Surface Mount,-40°C ~ 100°C (TJ),100-TQFP,100-VQFP (14x14)
-,-,72,36000,3 V ~ 3.6 V   4.75 V ~ 5.25 V,Surface Mount,0°C ~ 70°C (TA),84-LCC (J-Lead),84-PLCC (29.31x29.31)
12060,239616,173,-,1.425 V ~ 1.575 V,Surface Mount,-40°C ~ 100°C (TJ),240-BFQFP,240-PQFP (32x32)
2910,59904,65,-,1.425 V ~ 1.575 V,Surface Mount,0°C ~ 85°C (TJ),100-TQFP,100-TQFP (14x14)
4992,49152,147,257000,2.375 V ~ 2.625 V,Surface Mount,0°C ~ 70°C (TA),208-BFQFP,208-PQFP (28x28)
4992,49152,147,257000,2.375 V ~ 2.625 V,Surface Mount,-40°C ~ 85°C (TA),208-BFQFP,208-PQFP (28x28)
1728,24576,102,119000,2.375 V ~ 2.625 V,Surface Mount,-40°C ~ 85°C (TA),144-LQFP,144-TQFP (20x20)
2880,40960,102,199000,2.375 V ~ 2.625 V,Surface Mount,0°C ~ 70°C (TA),144-LQFP,144-TQFP (20x20)
50528,594432,294,-,1.15 V ~ 1.25 V,Surface Mount,0°C ~ 85°C (TJ),484-BGA,484-FBGA (23x23)
4608,119808,142,-,1.15 V ~ 1.25 V,Surface Mount,0°C ~ 85°C (TJ),208-BFQFP,208-PQFP (28x28)
179400,9383040,742,-,1.15 V ~ 1.25 V,Surface Mount,0°C ~ 85°C (TJ),1020-BBGA,1020-FBGA (33x33)
10320,423936,94,-,1.15 V ~ 1.25 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP Exposed Pad,144-EQFP (20x20)
24624,608256,148,-,1.15 V ~ 1.25 V,Surface Mount,0°C ~ 85°C (TJ),240-BFQFP,240-PQFP (32x32)
22320,608256,79,-,1.15 V ~ 1.25 V,Surface Mount,0°C ~ 85°C (TJ),144-LQFP Exposed Pad,144-EQFP (20x20)
62208,1769472,489,4000000,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),676-BGA,676-FBGA (27x27)
59904,2949120,448,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),668-BBGA   FCBGA,668-FCBGA (27x27)
43661,2138112,316,-,1.14 V ~ 1.26 V,Surface Mount,0°C ~ 85°C (TJ),484-BBGA,484-FBGA (23x23)
